Advisor ID,Name,Firm Name,Age,Email Address,City,State,Country,Client Industry,Insert date,Last update date,Phone number,Client,Data Hygiene,Lead AM,November,December
SalA001,Vanessa Smith,Norris-Brown,43,coreyharrell@norris-brown.com,New Kimberly,South Carolina,Montserrat,Financial Advisor,09-01-2024,09-01-2024,16546964776,Client,Healthy data,Sales AM 1,Early Client,Potential Client
SalA002,Claudia George,Montgomery-Zimmerman,41,claudia.george@montgomery-zimmerman.com,Cooperland,Alabama,Mongolia,RIA,14-04-2024,12-10-2024,19330448233,Client,Healthy data,Sales AM 1,Former Client,Active Client
SalA003,Warren Mathews,Davis Inc,31,cheryl98@davisinc.com,Lake Frederick,Illinois,Chile,Broker Dealer,11-02-2024,11-02-2024,16431072556,Client,Healthy data,Sales AM 1,Active Client,Active Client
SalA004, Elizabeth Shaffer,Warren Group,50,elizabethshaffer@warrengroup.com,Phamshire,Maryland,Sri Lanka,Family Office,11-02-2024,11-02-2024,12932137668,Client,Healthy data,Sales AM 1,Active Client,Active Client
SalA005, R. Hurst ,Larson Group,31,rhurst@larsongroup.com,West Theresafort,Washington,Korea,Financial Advisor,21-03-2024,21-03-2024,15773858423,Client,Healthy data,Sales AM 1,Active Client,Active Client
SalA006, Misty Johnson,"Chambers, Page and Whitaker",41,johnsonmisty@chamberspageandwhitaker.com,Jessicaville,North Dakota,Greece,Family Office,27-05-2024,13-06-2024,,Client,Missing Record,Sales AM 1,Early Client,Potential Client
SalA007, Don Camacho,Jackson-Charles,33,camachodon@jackson-charles.com,Duncanbury,Washington,Comoros,Family Office,08-11-2024,08-11-2024,16309036673,Client,Healthy data,Sales AM 1,Potential Client,Active Client
SalA008, Jennifer Rogers,Baker PLC,48,rogersjennifer@bakerplc.com,Russofort,Colorado,Germany,Financial Advisor,23-02-2024,23-02-2024,,Client,Missing Record,Sales AM 1,Active Client,Active Client
SalA009, Michael Young,"Lee, Shaw and Hall",31,michaelyoung@leeshawandhall.com,West Danielleview,North Carolina,Bangladesh,Family Office,01-01-2024,01-09-2024,14837890900,Client,Healthy data,Sales AM 1,Non Supporters,Potential Client
SalA010, K. Summers ,Larson Ltd,37,ksummers@larsonltd.com,Xavierchester,Louisiana,Cayman Islands,Family Office,18-06-2024,18-06-2024,17413706557,Client,Healthy data,Sales AM 1,Active Client,Active Client
SalA011, Theresa Wang,Brown Group,30,theresawang@browngroup.com,Port Ryan,North Carolina,Liberia,Broker Dealer,21-01-2024,21-01-2024,10985569562,Prospect,Stale Records,Sales AM 1,Active Client,Non Supporters
SalA012, Dawn Smith,"James, Reyes and Rhodes",38,dawnsmith@jamesreyesandrhodes.com,Lake Robertberg,Kansas,Lesotho,Financial Advisor,12-03-2024,12-03-2024,14322134420,Client,Healthy data,Sales AM 1,Active Client,Active Client
SalA013, Rebecca May,May PLC,44,rebecca81@mayplc.com,Port Lynnview,Alaska,Kyrgyz Republic,Financial Advisor,13-08-2024,13-08-2024,,Client,Missing Record,Sales AM 1,Active Client,Active Client
SalA014, Brian Schultz,Vaughn Inc,36,brianschultz@vaughninc.com,Justinburgh,Maine,Chile,Financial Advisor,10-08-2024,10-08-2024,19436612758,Client,Healthy data,Sales AM 1,Active Client,Active Client
SalA015, Tina Terry,"Shaw, Bailey and Smith",37,tinaterry@shawbaileyandsmith.com,Howardville,Maine,Vietnam,Broker Dealer,22-03-2024,29-07-2024,,Former Client,Missing Record,Sales AM 1,Former Client,Former Client
SalA016, Jose Brooks,Gonzalez-Holland,39,brooksjose@gonzalez-holland.com,Leechester,Wisconsin,Nicaragua,Financial Advisor,30-04-2024,28-08-2024,15436930795,Client,Healthy data,Sales AM 1,Potential Client,Potential Client
SalA017, Ashley McDonald,Ray Ltd,47,mcdonaldashley@rayltd.com,South Adam,Wyoming,Saint Vincent and the Grenadines,Institutional Investor,13-04-2024,13-04-2024,18476809180,Former Client,Healthy data,Sales AM 1,Former Client,Former Client
SalA018, Victoria Parker,Parker-Cox,37,victoria57@parker-cox.com,Palmertown,Mississippi,Japan,Family Office,08-06-2024,08-06-2024,17100980245,Client,Healthy data,Sales AM 1,Potential Client,Potential Client
SalA019, Jaime Jackson,Powell Inc,31,jacksonjaime@powellinc.com,Alexanderburgh,Tennessee,Barbados,Institutional Investor,15-02-2024,15-02-2024,18403656863,Client,Healthy data,Sales AM 1,Potential Client,Active Client
SalA020, Walter Farrell,"Farrell, Erickson and Frost",35,walter26@farrellericksonandfrost.com,Clintonview,Maine,Ecuador,RIA,02-03-2024,07-11-2024,,Prospect,Missing Record,Sales AM 1,Active Client,Non Supporters
SalA021, Travis Johnson,Johnson-Sosa,32,travis03@johnson-sosa.com,Port Carol,Idaho,Bhutan,Family Office,06-04-2024,30-05-2024,,Client,Missing Record,Sales AM 1,Active Client,Active Client
SalA022,William Meyer,Lee-Lyons,31,maciasoscar@lee-lyons.com,Port Matthew,Oregon,Liechtenstein,RIA,31-01-2024,22-11-2024,19458196466,Client,Healthy data,Sales AM 1,Active Client,Active Client
SalA023, Brandon Tran,"Parsons, Carlson and York",36,brandontran@parsonscarlsonandyork.com,New Jessica,Kentucky,Cambodia,Broker Dealer,21-01-2024,21-01-2024,,Former Client,Missing Record,Sales AM 1,Former Client,Former Client
SalA024, Daniel Coleman,"Benjamin, Lyons and Simon",30,colemandaniel@benjaminlyonsandsimon.com,Briannamouth,Arizona,Dominican Republic,Broker Dealer,28-01-2024,28-01-2024,19918470772,Client,Healthy data,Sales AM 1,Active Client,Active Client
SalA025, Sarah Miller,Brown-Rodriguez,41,millersarah@brown-rodriguez.com,Lake Kayla,New York,Ghana,Broker Dealer,29-03-2024,17-05-2024,18381575370,Client,Healthy data,Sales AM 1,Active Client,Active Client
SalA026, Ruth Armstrong,Armstrong PLC,31,ruth02@armstrongplc.com,Angelaside,Missouri,Vietnam,Broker Dealer,24-04-2024,24-04-2024,,Client,Missing Record,Sales AM 1,Potential Client,Active Client
SalA027, D. Conner ,Graves-Chapman,43,dconner@graves-chapman.com,Justinbury,Maine,Saudi Arabia,Broker Dealer,03-05-2024,03-05-2024,16043955559,Client,Healthy data,Sales AM 1,Active Client,Active Client
SalA028, Shannon Becker,Becker-Phillips,45,shannon61@becker-phillips.com,Karentown,Mississippi,India,RIA,22-02-2024,27-06-2024,18235712598,Client,Healthy data,Sales AM 1,Active Client,Active Client
SalA029, Joseph Davila,Jackson-Pope,38,josephdavila@jackson-pope.com,Morganland,Oregon,Libyan Arab Jamahiriya,Broker Dealer,03-06-2024,03-06-2024,10633772337,Client,Healthy data,Sales AM 1,Early Client,Early Client
SalA030,Hannah Norris,"Miller, Diaz and Contreras",45,sandy78@millerdiazandcontreras.com,New Matthew,South Carolina,Canada,Institutional Investor,25-01-2024,21-12-2024,,Client,Missing Record,Sales AM 1,Early Client,Early Client
SalA031, Peter Atkinson,"Atkinson, Wright and Brown",36,peter01@atkinsonwrightandbrown.com,Woodsfort,Ohio,Costa Rica,Institutional Investor,12-05-2024,19-06-2024,17855277022,Client,Healthy data,Sales AM 1,Early Client,Early Client
SalA032, E. Anderson ,"Harrington, Banks and Hill",43,eanderson@harringtonbanksandhill.com,Lake Larry,Montana,Algeria,Financial Advisor,24-10-2024,24-10-2024,16400570839,Client,Healthy data,Sales AM 1,Potential Client,Early Client
SalA033,Joseph Duran,Larson and Sons,30,joseph.duran@larsonandsons.com,Port Susan,Florida,Burundi,Institutional Investor,31-10-2024,31-10-2024,14649912505,Client,Healthy data,Sales AM 1,Active Client,Active Client
SalA034, Michael Brown,Brown-Watson,43,michael64@brown-watson.com,Lake Tammy,Nevada,Lithuania,RIA,09-03-2024,28-12-2024,14736992254,Client,Healthy data,Sales AM 1,Active Client,Active Client
SalA035, Lindsay Evans,Ward PLC,47,evanslindsay@wardplc.com,Donnashire,New York,Cocos (Keeling) Islands,Institutional Investor,12-09-2024,12-09-2024,13691848562,Client,Healthy data,Sales AM 1,Active Client,Active Client
SalA036, Misty Mathis,Carson and Sons,44,mathismisty@carsonandsons.com,New Larry,West Virginia,Iceland,Family Office,19-07-2024,19-07-2024,12151896794,Client,Healthy data,Sales AM 1,Potential Client,Potential Client
SalA037, Gregory Wilkerson,"Smith, Smith and Griffin",38,wilkersongregory@smithsmithandgriffin.com,East Chelsea,North Dakota,Mexico,Institutional Investor,11-08-2024,11-08-2024,,Former Client,Missing Record,Sales AM 1,Former Client,Former Client
SalA038, Ian Baker,Adams-Wagner,34,bakerian@adams-wagner.com,Lake Amanda,Oregon,Canada,RIA,16-04-2024,16-04-2024,13863939369,Client,Healthy data,Sales AM 1,Former Client,Early Client
SalA039, B. Anderson ,Jordan Ltd,43,banderson@jordanltd.com,Port Daniel,Michigan,Kiribati,Institutional Investor,20-06-2024,20-06-2024,,Client,Missing Record,Sales AM 1,Active Client,Active Client
SalA040, Robert Williams,Williams-Cummings,45,robert77@williams-cummings.com,Palmerside,Indiana,South Georgia and the South Sandwich Islands,Family Office,12-01-2024,18-11-2024,11145552378,Client,Healthy data,Sales AM 1,Active Client,Active Client
SalA041, Michelle Williams,Hodge-Schmidt,46,michellewilliams@hodge-schmidt.com,Duartemouth,Illinois,Micronesia,Family Office,30-05-2024,20-06-2024,19897490267,Client,Healthy data,Sales AM 1,Active Client,Active Client
SalA042, Ebony Bentley,Adams PLC,36,ebonybentley@adamsplc.com,East Matthewbury,New Hampshire,Greece,Broker Dealer,28-01-2024,28-01-2024,11377090281,Client,Healthy data,Sales AM 1,Active Client,Active Client
SalA043, Dean McKenzie,Simpson PLC,41,deanmckenzie@simpsonplc.com,Jonesview,Ohio,Germany,Broker Dealer,12-09-2024,22-12-2024,12822750907,Client,Healthy data,Sales AM 1,Active Client,Active Client
SalA044, A. Fowler ,Nixon Group,42,afowler@nixongroup.com,West Kevinhaven,Michigan,Equatorial Guinea,Family Office,31-08-2024,24-09-2024,17164101209,Client,Healthy data,Sales AM 1,Active Client,Active Client
SalA045, David Harding,Harding-Lee,35,david71@harding-lee.com,South Michaelville,Missouri,British Indian Ocean Territory (Chagos Archipelago),RIA,27-10-2024,02-11-2024,10004014441,Former Client,Healthy data,Sales AM 1,Former Client,Former Client
SalA046, W. De La Cruz ,Hill and Sons,43,wdelacruz@hillandsons.com,Wilsonland,Florida,Colombia,Family Office,05-04-2024,05-04-2024,10591633721,Client,Healthy data,Sales AM 1,Early Client,Active Client
SalA047, Amy Greer,"Garcia, Hayes and Baker",37,greeramy@garciahayesandbaker.com,Davidside,New Jersey,Korea,Family Office,20-09-2024,24-11-2024,16168861328,Client,Healthy data,Sales AM 1,Active Client,Active Client
