Advisor ID,Name,Firm Name,Age,Email Address,Advisor ID,City,State,Country,Client Industry,Insert date,Last update date,Maxt activity date,Phone number,Client,Data Hygiene,Lead AM,December,November
SalA001,Vanessa Smith,Norris-Brown,43,coreyharrell@norris-brown.com,SalA001,New Kimberly,South Carolina,Montserrat,Financial Advisor,07-11-2024,09-01-2024,05-01-2025,16546964776,Client,Healthy data,Sales AM 1,Potential Client,Active Client
SalA002,Claudia George,Montgomery-Zimmerman,41,williejohnson@montgomery-zimmerman.com,SalA002,Cooperland,Alabama,Mongolia,RIA,14-04-2024,12-10-2024,05-01-2025,19330448233,Client,Healthy data,Sales AM 1,Active Client,Early Client
SalA003,Warren Mathews,Davis Inc,31,cheryl98@davisinc.com,SalA003,Lake Frederick,Illinois,Chile,Broker Dealer,19-11-2024,11-02-2024,06-01-2025,16431072556,Client,Healthy data,Sales AM 1,Active Client,Active Client
SalA004,Ryan Williams,Warren Group,50,elizabethshaffer@warrengroup.com,SalA004,Phamshire,Maryland,Sri Lanka,Family Office,08-09-2024,11-02-2024,31-12-2024,12932137668,Client,Healthy data,Sales AM 1,Active Client,Active Client
SalA005,Caitlin Davila,Larson Group,31,rhurst@larsongroup.com,SalA005,West Theresafort,Washington,Korea,Financial Advisor,16-04-2024,21-03-2024,06-01-2025,15773858423,Client,Healthy data,Sales AM 1,Active Client,Active Client
SalA006,Danny Knight,"Chambers, Page and Whitaker",41,johnsonmisty@chamberspageandwhitaker.com,SalA006,Jessicaville,North Dakota,Greece,Family Office,27-05-2024,13-06-2024,01-01-2025,,Client,Missing Record,Sales AM 1,Potential Client,Active Client
SalA007,Ashley Smith,Jackson-Charles,33,camachodon@jackson-charles.com,SalA007,Duncanbury,Washington,Comoros,Family Office,23-12-2024,08-11-2024,05-01-2025,16309036673,Client,Healthy data,Sales AM 1,Active Client,Potential Client
SalA008,Kristi Franklin,Baker PLC,48,rogersjennifer@bakerplc.com,SalA008,Russofort,Colorado,Germany,Financial Advisor,27-04-2024,23-02-2024,04-01-2025,,Client,Missing Record,Sales AM 1,Active Client,Active Client
SalA009,Ronald Cruz,"Lee, Shaw and Hall",31,michaelyoung@leeshawandhall.com,SalA009,West Danielleview,North Carolina,Bangladesh,Family Office,01-01-2024,01-09-2024,06-01-2025,14837890900,Client,Healthy data,Sales AM 1,Potential Client,Active Client
SalA010,Sandra Alvarez,Larson Ltd,37,ksummers@larsonltd.com,SalA010,Xavierchester,Louisiana,Cayman Islands,Family Office,29-09-2024,18-06-2024,05-01-2025,17413706557,Client,Healthy data,Sales AM 1,Active Client,Active Client
SalA011,Roy Wilson,Brown Group,30,theresawang@browngroup.com,SalA011,Port Ryan,North Carolina,Liberia,Broker Dealer,06-08-2024,08-06-2024,31-12-2024,10985569562,Prospect,Stale Records,Sales AM 1,Non Supporters,Early Client
