Email Address,URL,Event Type,Engagement Time (sec),Traffic Medium,Traffic Source,Date
evanslindsay@wardplc.com,https://assetmanagement.com/insights,Page View,226,Paid,Google,18-07-2024
kennedypaula@burgessandsons.com,https://assetmanagement.com/products/etf,Product View,236,Paid,Twitter,26-06-2024
nguyenjames@gould-brown.com,https://assetmanagement.com/products/esg,Product View,252,Direct,Newsletter,01-07-2024
angelsheppard@forbesltd.com,https://assetmanagement.com/products/fixed-income,Product View,142,Organic,Google,14-11-2024
bhines@leeinc.com,https://assetmanagement.com/video/market-trends,Video View,240,Direct,Twitter,02-09-2024
longkimberly@roberts-campbell.com,https://assetmanagement.com/contact-us,Form Submission,192,Direct,Twitter,21-12-2024
josephdavila@jackson-pope.com,https://assetmanagement.com/about-us,Page View,289,Organic,Google,23-06-2024
rbrown@saunderskellyandweber.com,https://assetmanagement.com/products/real-estate,Product View,246,Direct,LinkedIn,31-10-2024
jeffersoncathy@kimsparksandmontgomery.com,https://assetmanagement.com/insights/quarterly-report,Page View,250,Paid,Newsletter,03-01-2025
jennifergutierrez@anderson-clark.com,https://assetmanagement.com/video/investment-strategies,Video View,77,Email,Newsletter Campaign,05-01-2025
toniaustin@lee-wu.com,https://assetmanagement.com/insights,Page View,121,Direct,LinkedIn,01-11-2024
janet96@gibbsltd.com,https://assetmanagement.com/products/etf,Product View,220,Email,Newsletter Campaign,23-08-2024
kevingarcia@williamsllc.com,https://assetmanagement.com/products/esg,Product View,138,Direct,Newsletter,17-08-2024
scottjoyce@lopezmooreandwilliamson.com,https://assetmanagement.com/products/fixed-income,Product View,32,Paid,Newsletter,18-06-2024
maciasoscar@lee-lyons.com,https://assetmanagement.com/video/market-trends,Video View,95,Referral,Google,24-10-2024
bergerkenneth@woodsllc.com,https://assetmanagement.com/contact-us,Form Submission,64,Organic,LinkedIn,13-08-2024
banderson@jordanltd.com,https://assetmanagement.com/about-us,Page View,247,Referral,LinkedIn,12-11-2024
coreyharrell@norris-brown.com,https://assetmanagement.com/products/real-estate,Product View,246,Referral,Google,16-12-2024
lawrencelittle@ellisltd.com,https://assetmanagement.com/insights/quarterly-report,Page View,69,Referral,Twitter,27-06-2024
hubbardtyler@caldwell-salinas.com,https://assetmanagement.com/insights/quarterly-report,Page View,39,Email,Event Invitation,05-01-2025
ebonybentley@adamsplc.com,https://assetmanagement.com/insights,Page View,161,Referral,Twitter,30-09-2024
david71@harding-lee.com,https://assetmanagement.com/products/etf,Product View,152,Paid,Google,29-09-2024
colemandaniel@benjaminlyonsandsimon.com,https://assetmanagement.com/products/esg,Product View,216,Direct,Twitter,07-09-2024
leonardpotter@henderson-rodriguez.com,https://assetmanagement.com/products/fixed-income,Product View,269,Email,Newsletter Campaign,02-11-2024
pcoleman@hess-marsh.com,https://assetmanagement.com/video/market-trends,Video View,57,Organic,Twitter,06-10-2024
kbarker@johnsonkrauseandelliott.com,https://assetmanagement.com/contact-us,Form Submission,139,Paid,Newsletter,18-06-2024
wilsonapril@lynchllc.com,https://assetmanagement.com/about-us,Page View,44,Email,Newsletter Campaign,06-06-2024
jacksonjaime@powellinc.com,https://assetmanagement.com/products/real-estate,Product View,290,Direct,Newsletter,28-11-2024
banderson@jordanltd.com,https://assetmanagement.com/insights/quarterly-report,Page View,105,Paid,Twitter,15-11-2024
nrose@gordonwintersandgomez.com,https://assetmanagement.com/video/investment-strategies,Video View,135,Organic,Newsletter,14-10-2024
karafuentes@williamsplc.com,https://assetmanagement.com/insights,Page View,144,Paid,LinkedIn,14-12-2024
robert08@jonesevansandallen.com,https://assetmanagement.com/products/etf,Product View,142,Direct,Newsletter,19-06-2024
millersarah@brown-rodriguez.com,https://assetmanagement.com/products/esg,Product View,117,Paid,LinkedIn,01-09-2024
hubbardtyler@caldwell-salinas.com,https://assetmanagement.com/video/investment-strategies,Video View,149,Email,Event Invitation,03-01-2025
rcampbell@rossyatesandnelson.com,https://assetmanagement.com/video/market-trends,Video View,160,Paid,Twitter,19-10-2024
doris66@franklingroup.com,https://assetmanagement.com/contact-us,Form Submission,233,Email,Newsletter Campaign,05-09-2024
paula73@dudleyvaldezandwarren.com,https://assetmanagement.com/about-us,Page View,104,Organic,Newsletter,23-08-2024
julie76@wood-frey.com,https://assetmanagement.com/products/real-estate,Product View,211,Referral,LinkedIn,31-08-2024
zchapman@brown-richardson.com,https://assetmanagement.com/insights/quarterly-report,Page View,85,Paid,LinkedIn,31-08-2024
christophersmith@smithmendozaandkelly.com,https://assetmanagement.com/video/investment-strategies,Video View,124,Paid,LinkedIn,02-08-2024
jacobbrock@graygilbertanddelgado.com,https://assetmanagement.com/insights,Page View,273,Paid,Twitter,11-06-2024
mariacollins@pattersonyatesandfox.com,https://assetmanagement.com/products/etf,Product View,158,Organic,Google,17-09-2024
peter01@atkinsonwrightandbrown.com,https://assetmanagement.com/products/esg,Product View,242,Direct,Twitter,14-07-2024
kevin02@hoodharrisonandblackwell.com,https://assetmanagement.com/products/fixed-income,Product View,116,Paid,Twitter,19-08-2024
stephanie05@chanjamesandlawson.com,https://assetmanagement.com/video/market-trends,Video View,130,Referral,Twitter,30-07-2024
campbellpeggy@robinsonandsons.com,https://assetmanagement.com/contact-us,Form Submission,160,Organic,Newsletter,08-06-2024
brittneywashington@osborne-howard.com,https://assetmanagement.com/about-us,Page View,193,Email,Newsletter Campaign,03-08-2024
hubbardtyler@caldwell-salinas.com,https://assetmanagement.com/insights/quarterly-report,Page View,127,Referral,LinkedIn,01-01-2025
david71@harding-lee.com,https://assetmanagement.com/insights/quarterly-report,Page View,269,Paid,LinkedIn,16-06-2024
michael64@brown-watson.com,https://assetmanagement.com/video/investment-strategies,Video View,270,Paid,Newsletter,19-11-2024
jamierandall@mendeztuckerandwalters.com,https://assetmanagement.com/insights,Page View,34,Direct,Twitter,15-07-2024
kimberly72@scottgrimesandsoto.com,https://assetmanagement.com/products/etf,Product View,42,Email,Newsletter Campaign,14-11-2024
ruizkristi@martinezdavisandmoore.com,https://assetmanagement.com/products/esg,Product View,263,Paid,LinkedIn,31-08-2024
pcoleman@hess-marsh.com,https://assetmanagement.com/products/fixed-income,Product View,228,Paid,LinkedIn,12-10-2024
donnamclaughlin@youngtaylorandharris.com,https://assetmanagement.com/video/market-trends,Video View,93,Email,Newsletter Campaign,03-11-2024
christina05@campbellhillandparrish.com,https://assetmanagement.com/contact-us,Form Submission,164,Direct,Google,09-11-2024
wilkersongregory@smithsmithandgriffin.com,https://assetmanagement.com/about-us,Page View,111,Paid,LinkedIn,06-01-2025
michaelhernandez@donaldsonandsons.com,https://assetmanagement.com/products/real-estate,Product View,207,Paid,Google,08-09-2024
patricia25@gordonwebbandrichardson.com,https://assetmanagement.com/insights/quarterly-report,Page View,172,Direct,Twitter,09-06-2024
meganvaldez@evanshowellandyoung.com,https://assetmanagement.com/video/investment-strategies,Video View,248,Referral,Twitter,21-09-2024
mary27@carneyspencerandsantos.com,https://assetmanagement.com/insights,Page View,100,Email,Newsletter Campaign,10-11-2024
theresawang@browngroup.com,https://assetmanagement.com/products/etf,Product View,198,Email,Newsletter Campaign,03-08-2024
dpineda@gonzalez-fields.com,https://assetmanagement.com/products/esg,Product View,154,Organic,Newsletter,13-12-2024
staciemartinez@richardsplc.com,https://assetmanagement.com/products/fixed-income,Product View,57,Paid,Newsletter,06-06-2024
